# Water Recovery,TDS flow,Water flow,LCOW,SEC,Membrane Area,Operating Pressure
3.000000e-01,3.243333e-02,9.650000e-01,8.285025e-01,5.352094e+00,7.015191e+01,4.678845e+06
3.050000e-01,3.243333e-02,9.650000e-01,8.201857e-01,5.296587e+00,7.074900e+01,4.706871e+06
3.100000e-01,3.243333e-02,9.650000e-01,8.121480e-01,5.243007e+00,7.134153e+01,4.735017e+06
3.150000e-01,3.243333e-02,9.650000e-01,8.043776e-01,5.191273e+00,7.192956e+01,4.763294e+06
3.200000e-01,3.243333e-02,9.650000e-01,7.968634e-01,5.141310e+00,7.251316e+01,4.791711e+06
3.250000e-01,3.243333e-02,9.650000e-01,7.895952e-01,5.093046e+00,7.309238e+01,4.820279e+06
3.300000e-01,3.243333e-02,9.650000e-01,7.825634e-01,5.046415e+00,7.366727e+01,4.849007e+06
3.350000e-01,3.243333e-02,9.650000e-01,7.757587e-01,5.001354e+00,7.423787e+01,4.877905e+06
3.400000e-01,3.243333e-02,9.650000e-01,7.691728e-01,4.957806e+00,7.480423e+01,4.906985e+06
3.450000e-01,3.243333e-02,9.650000e-01,7.627975e-01,4.915715e+00,7.536637e+01,4.936256e+06
3.500000e-01,3.243333e-02,9.650000e-01,7.566253e-01,4.875029e+00,7.592434e+01,4.965730e+06
3.550000e-01,3.243333e-02,9.650000e-01,7.506492e-01,4.835701e+00,7.647817e+01,4.995417e+06
3.600000e-01,3.243333e-02,9.650000e-01,7.448625e-01,4.797684e+00,7.702788e+01,5.025330e+06
3.650000e-01,3.243333e-02,9.650000e-01,7.392589e-01,4.760936e+00,7.757348e+01,5.055479e+06
3.700000e-01,3.243333e-02,9.650000e-01,7.338325e-01,4.725417e+00,7.811501e+01,5.085877e+06
3.750000e-01,3.243333e-02,9.650000e-01,7.285778e-01,4.691089e+00,7.865246e+01,5.116536e+06
3.800000e-01,3.243333e-02,9.650000e-01,7.234895e-01,4.657916e+00,7.918587e+01,5.147468e+06
3.850000e-01,3.243333e-02,9.650000e-01,7.185627e-01,4.625866e+00,7.971522e+01,5.178685e+06
3.900000e-01,3.243333e-02,9.650000e-01,7.137928e-01,4.594906e+00,8.024054e+01,5.210203e+06
3.950000e-01,3.243333e-02,9.650000e-01,7.091755e-01,4.565008e+00,8.076181e+01,5.242033e+06
4.000000e-01,3.243333e-02,9.650000e-01,7.047065e-01,4.536145e+00,8.127904e+01,5.274190e+06
4.050000e-01,3.243333e-02,9.650000e-01,7.003823e-01,4.508289e+00,8.179224e+01,5.306688e+06
4.100000e-01,3.243333e-02,9.650000e-01,6.961990e-01,4.481417e+00,8.230139e+01,5.339542e+06
4.150000e-01,3.243333e-02,9.650000e-01,6.921533e-01,4.455507e+00,8.280648e+01,5.372769e+06
4.200000e-01,3.243333e-02,9.650000e-01,6.882421e-01,4.430538e+00,8.330751e+01,5.406382e+06
4.250000e-01,3.243333e-02,9.650000e-01,6.844624e-01,4.406489e+00,8.380448e+01,5.440400e+06
4.300000e-01,3.243333e-02,9.650000e-01,6.808114e-01,4.383343e+00,8.429735e+01,5.474838e+06
4.350000e-01,3.243333e-02,9.650000e-01,6.772867e-01,4.361082e+00,8.478613e+01,5.509715e+06
4.400000e-01,3.243333e-02,9.650000e-01,6.738857e-01,4.339692e+00,8.527080e+01,5.545048e+06
4.450000e-01,3.243333e-02,9.650000e-01,6.706062e-01,4.319156e+00,8.575134e+01,5.580857e+06
4.500000e-01,3.243333e-02,9.650000e-01,6.674463e-01,4.299463e+00,8.622775e+01,5.617161e+06
4.550000e-01,3.243333e-02,9.650000e-01,6.644040e-01,4.280599e+00,8.670000e+01,5.653980e+06
4.600000e-01,3.243333e-02,9.650000e-01,6.614777e-01,4.262555e+00,8.716809e+01,5.691335e+06
4.650000e-01,3.243333e-02,9.650000e-01,6.586656e-01,4.245319e+00,8.763201e+01,5.729249e+06
4.700000e-01,3.243333e-02,9.650000e-01,6.559665e-01,4.228883e+00,8.809173e+01,5.767742e+06
4.750000e-01,3.243333e-02,9.650000e-01,6.533791e-01,4.213240e+00,8.854727e+01,5.806840e+06
4.800000e-01,3.243333e-02,9.650000e-01,6.509022e-01,4.198381e+00,8.899860e+01,5.846567e+06
4.850000e-01,3.243333e-02,9.650000e-01,6.485349e-01,4.184302e+00,8.944574e+01,5.886948e+06
4.900000e-01,3.243333e-02,9.650000e-01,6.462763e-01,4.170997e+00,8.988869e+01,5.928009e+06
4.950000e-01,3.243333e-02,9.650000e-01,6.441258e-01,4.158463e+00,9.032746e+01,5.969777e+06
5.000000e-01,3.243333e-02,9.650000e-01,6.420827e-01,4.146696e+00,9.076206e+01,6.012283e+06
5.050000e-01,3.243333e-02,9.650000e-01,6.401467e-01,4.135694e+00,9.119253e+01,6.055555e+06
5.100000e-01,3.243333e-02,9.650000e-01,6.383175e-01,4.125456e+00,9.161889e+01,6.099624e+06
5.150000e-01,3.243333e-02,9.650000e-01,6.365949e-01,4.115982e+00,9.204120e+01,6.144523e+06
5.200000e-01,3.243333e-02,9.650000e-01,6.349790e-01,4.107272e+00,9.245951e+01,6.190285e+06
5.250000e-01,3.243333e-02,9.650000e-01,6.334698e-01,4.099329e+00,9.287389e+01,6.236946e+06
5.300000e-01,3.243333e-02,9.650000e-01,6.320678e-01,4.092154e+00,9.328444e+01,6.284542e+06
5.350000e-01,3.243333e-02,9.650000e-01,6.307732e-01,4.085752e+00,9.369125e+01,6.333111e+06
5.400000e-01,3.243333e-02,9.650000e-01,6.295867e-01,4.080126e+00,9.409445e+01,6.382694e+06
5.450000e-01,3.243333e-02,9.650000e-01,6.285090e-01,4.075282e+00,9.449420e+01,6.433332e+06
5.500000e-01,3.243333e-02,9.650000e-01,6.275410e-01,4.071227e+00,9.489065e+01,6.485069e+06
